"","Year","State","Name","Alcoholic Beverage Tax (T10)","Alcoholic Beverage Lic (T20)"
"431",2009,"24","MN STATE GOVT","75225","1724"
"432",2009,"25","MS STATE GOVT","42464","2828"
"433",2009,"26","MO STATE GOVT","31990","5086"
"434",2009,"27","MT STATE GOVT","28095","2087"
"435",2009,"28","NE STATE GOVT","26925","542"
"436",2009,"29","NV STATE GOVT","37867","0"
"437",2009,"30","NH STATE GOVT","12451","3245"
"438",2009,"31","NJ STATE GOVT","104372","7838"
"439",2009,"32","NM STATE GOVT","39250","3583"
"440",2009,"33","NY STATE GOVT","206453","43701"
"441",2009,"34","NC STATE GOVT","264067","15261"
"442",2009,"35","ND STATE GOVT","7161","250"
"443",2009,"36","OH STATE GOVT","93782","33302"
"444",2009,"37","OK STATE GOVT","90064","9831"
"445",2009,"38","OR STATE GOVT","15852","3423"
"446",2009,"39","PA STATE GOVT","294334","16224"
"447",2009,"40","RI STATE GOVT","10819","121"
"448",2009,"41","SC STATE GOVT","150146","8306"
"449",2009,"42","SD STATE GOVT","14232","553"
"450",2009,"43","TN STATE GOVT","116056","1158"
"451",2009,"44","TX STATE GOVT","796949","70850"
"452",2009,"45","UT STATE GOVT","40762","1890"
"453",2009,"46","VT STATE GOVT","20682","371"
"454",2009,"47","VA STATE GOVT","180096","11514"
"455",2009,"48","WA STATE GOVT","276082","11336"
"456",2009,"49","WV STATE GOVT","9479","17483"
"457",2009,"50","WI STATE GOVT","54047","1268"
"458",2009,"51","WY STATE GOVT","1672","0"
"459",2008,"00","US STATE GOVTS","5290145","453507"
"460",2008,"01","AL STATE GOVT","164827","3431"
"461",2008,"02","AK STATE GOVT","36567","1924"
"462",2008,"03","AZ STATE GOVT","64556","11994"
"463",2008,"04","AR STATE GOVT","42843","1959"
"464",2008,"05","CA STATE GOVT","327260","47839"
"465",2008,"06","CO STATE GOVT","35472","6085"
"466",2008,"07","CT STATE GOVT","47016","6478"
"467",2008,"08","DE STATE GOVT","14735","804"
"468",2008,"10","FL STATE GOVT","609185","36833"
"469",2008,"11","GA STATE GOVT","165640","2343"
"470",2008,"12","HI STATE GOVT","45620","0"
"471",2008,"13","ID STATE GOVT","7562","1655"
"472",2008,"14","IL STATE GOVT","158067","11488"
"473",2008,"15","IN STATE GOVT","44707","10719"
"474",2008,"16","IA STATE GOVT","14449","10704"
"475",2008,"17","KS STATE GOVT","106299","2653"
"476",2008,"18","KY STATE GOVT","107507","6136"
"477",2008,"19","LA STATE GOVT","54993","0"
"478",2008,"20","ME STATE GOVT","17404","4150"
"479",2008,"21","MD STATE GOVT","28966","1022"
"480",2008,"22","MA STATE GOVT","71935","3081"
"481",2008,"23","MI STATE GOVT","138779","14124"
"482",2008,"24","MN STATE GOVT","72563","1682"
"483",2008,"25","MS STATE GOVT","42092","2929"
"484",2008,"26","MO STATE GOVT","31173","4771"
"485",2008,"27","MT STATE GOVT","27166","2944"
